#BT GDL reoverhaul

owner = PEC
controller = PEC
add_core = PEC
culture = patzinac
religion = orthodox
capital = "Kamiani Potoky"			#formerly Buhogard. Kamiani Potoky was an early 16th century zaporizhian town, but nothing better showing up right now and it is better than Oleksandriia.
base_tax = 1
base_production = 1
base_manpower = 1
trade_goods = livestock
is_city = yes
hre = no

discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
discovered_by = nomad_group
