#BT Balkans reoverhaul

owner = TRC
controller = TRC
add_core = TRC
add_core = VLS
culture = thracian
religion = orthodox
capital = "Ainos"
base_tax = 2
base_production = 3
base_manpower = 1
trade_goods = salt			#Very productive salt pans, enough to delay Ottoman conquest by offering salt as tribute.
is_city = yes
hre = no

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
