#BT GDL reoverhaul

owner = PEC
controller = PEC
add_core = PEC
culture = pechenegian_culture
religion = orthodox
capital = "Mariampol"			#Nothing here 'til the late 18th century... so.... getting creative. No evidence of settlement prior to Tartar devastation, so a Greek names isn't the absolute worst.
base_tax = 1
base_production = 1
base_manpower = 1
trade_goods = livestock
is_city = yes
hre = no

discovered_by = western
discovered_by = muslim
discovered_by = ottoman
discovered_by = eastern
discovered_by = nomad_group
